commit_sha	pr	classification	overlap_count	subject	reason
00ca7798bcc18e6d916fd46d6c127feaae58739f	4080	MUST_REVERT	12	fix(sdk): make terminal receipts and steering durable (#4080)	#4080: durable terminal receipts and steering on #4098 SDK architecture. Touches host/control/dispatch.ts, operations.ts, session-runtime.ts (all substantially #4098 code)
00d4318ef65b031fe08f43c46c616b72b1d14710	4254	MUST_REVERT	7	fix(sdk): sync session-index snapshot through a writable handle (#4254)	#4254: sync session-index snapshot. Touches broker/session-index.ts (#4098-refactored)
0d1d94d3fa6abe10743e5958560368bf03143ea0	4098	MUST_REVERT	51	fix(sdk): land the PR #4098 review-cohort fix generations 4-7 (#4281)	#4281: explicitly '#4098 review-cohort fix generations 4-7'. Touches lifecycle/service.ts (NEW), router/session-router.ts (NEW)
16b3616ba80b2e741ecd77618d772276dd6096d6	4401	MUST_REVERT	7	refactor(notifications): isolate Telegram failure authority (#4401)	#4401: isolate Telegram failure authority. Touches router/session-router.ts (NEW), sdk-session-router-authority.test.ts (NEW)
2d5180fb696b91ccdfae5c938b00f67ccfd51ace	4344	MUST_REVERT	2	fix(sdk): restore the broker startup-failure marker writer and bind it to the exact spawned child (#4344)	#4344: broker startup-failure marker. Touches commands/sdk.ts (#4098-refactored broker startup)
32269d8eb42afdcea86e41a5ea3be1d1c90e2c23	4476	MUST_REVERT	2	fix(session): replace real-time settle sleeps with deterministic session settlement (#4476) (#4486)	#4476: deterministic session settlement touching operation-inventory.generated.json (#4098-generated)
36876355417bbb2353fb294ec268ea247af96ba4	4253	MUST_REVERT	3	fix(sdk): attribute reconnect-cycle termination (#4253)	#4253: attribute reconnect-cycle termination. Touches sdk/client/client.ts (#4098-refactored)
3cf0aa531abd8a42809e027ca9a1e773c930ec73	4263	MUST_REVERT	10	fix(dev-ci): repair the 0.13.1-window regressions and the session-index lock storm (#4263) (#4272)	#4272: repair #4098's session-index lock storm. Touches router/session-router.ts (NEW), broker/lifecycle.ts, broker/session-index.ts
54c92fbf9a65704a11788a1d240e5296964eb3b2	4356	MUST_REVERT	3	fix(acp): prevent stale attachment from terminalizing ACP session (#4356) (#4371)	#4371: (already classified above)
6102c6333f3dd30dc731c6b0e7f5a2d00b27e148	4230	MUST_REVERT	2	fix(sdk): verify session endpoint removal after graceful shutdown (#4230)	#4230: verify session endpoint removal. Touches commands/sdk.ts (#4098-refactored session lifecycle)
65631379e8a4ae69ae8bb249bbf6f851fe12db76	4268	MUST_REVERT	10	fix(telegram): reconcile orphaned session topics (#4268)	#4268: reconcile orphaned session topics via #4098's router. Touches router/session-router.ts (NEW)
6c3854c52a825300473e866b54a9f34ad00b3d08	4359	MUST_REVERT	1	fix(session): resolve shard-1-of-8 lifecycle cluster failures (#4359)	#4359: shard lifecycle cluster failures in sdk-machine-lifecycle-topology.test.ts (#4098-introduced test)
7121d19c72bacb1bcf3837a837622825bd895430	4506	MUST_REVERT	3	fix(acp): preserve cleanup-pending delete authority (#4506)	#4506: cleanup-pending delete authority. Touches broker/lifecycle.ts (#4098-refactored)
9d25e79b8fd13c5bdcf55497acb567e3dcddcee5	4397	MUST_REVERT	5	feat(sdk): bounded progress-aware prompt deadline lease with hard cap and exact-turn isolation (#4397)	#4397: prompt deadline lease on #4098's host/session-runtime. Touches host/session-runtime.ts (#4098-refactored)
