commit_sha	subject	pr_number	overlap_count	overlap_files
00ca7798bcc18e6d916fd46d6c127feaae58739f	fix(sdk): make terminal receipts and steering durable (#4080)	4080	12	docs/sdk.md;packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/coordinator-mcp/server.ts;packages/coding-agent/src/sdk/bus/index.ts;packages/coding-agent/src/sdk/host/control/dispatch.ts;packages/coding-agent/src/sdk/host/control/operations.ts;packages/coding-agent/src/sdk/host/session-runtime.ts;packages/coding-agent/src/sdk/protocol/operation-inventory.generated.json;packages/coding-agent/src/sdk/protocol/operation-registry.ts;packages/coding-agent/test/manifests/sdk-adapter-parity-v1.json;packages/coding-agent/test/sdk-adapter-dispositions.test.ts;packages/coding-agent/test/sdk-control-dispatch.test.ts
67b65937617c44c21f489744ea4bb149f41fbf33	fix(session): close retained-authority residuals (#4246)	4246	2	bun.lock;package.json
099a37fb4120e6c10be4f4d2f2b2f9f55cb57b46	Merge pull request #4260 from Yeachan-Heo/fix/issue-4257-version-catalog-drift	4260	0	
75301116ec607947ea1580cae0c60da107c0eaba	fix(telegram): accept archive fences that retained a stray grace deadline (#4249)	4249	0	
597e8e59530fb85ef16b8e25bb8dfaee476b19a3	fix(ai): converge Anthropic thinking-replay rejections under managed fallback attempts (#4267)	4267	0	
db64d8d0842258414b5103bb93b0d4341e44f0a5	Merge pull request #4241 from Yeachan-Heo/fix/issue-4200-runloop-heartbeat-containment	4241	0	
d50b4ff3ee7f9c6b12a96ec194c445cb0399cc65	fix(acp): restore canonical skill lifecycle (#4243)	4243	0	
44f4e75b0e1ab658379cd0d68219470582d6a97c	Merge pull request #4256 from Yeachan-Heo/fix/4228-close-native-shell-sessions	4256	0	
678e26c4cecec337d43b379b11c85dbbcd64aaa6	Merge pull request #4264 from itecob/agent/fix-bonsai-responses-tool-arguments	4264	0	
36876355417bbb2353fb294ec268ea247af96ba4	fix(sdk): attribute reconnect-cycle termination (#4253)	4253	3	packages/coding-agent/CHANGELOG.md;packages/coding-agent/src/sdk/client/client.ts;packages/coding-agent/test/sdk-client.test.ts
4396d52200b1072d4f76bb1c7e87bcbda1276bf6	Merge pull request #4245 from snowykr/feat/settings-unify	4245	0	
948bcc5d8d845756a713e5ff29e6ec503ddc2f08	fix(ai,agent): close fail-open Responses tool-call identity/lifecycle edge cases (#4274) (#4276)	4274	0	
259885288d0e682e215fb3c2df0a7bb76e927aa3	fix(macos): stabilize TCC permissions for GJC binaries (#4275)	4275	0	
debe936960409e7f106f3f417cc4887deaea666f	Merge pull request #4265 from Yeachan-Heo/research/stress-test	4265	0	
ace25b5bd84a8e4bb4c0827295eb6427599a4f79	fix(sdk): terminalize scrubbed transcript deletion and update retired CLI ingress (#4278)	4278	2	packages/coding-agent/CHANGELOG.md;packages/coding-agent/test/sdk-machine-lifecycle-topology.test.ts
f44f6fbe179d25b92aa245fe2096739e6be42e6e	fix(settings): follow-up to #4245 review threads — retirement ordering, marker fail-closed, probe robustness, Bun.write staging (#4277)	4245	1	packages/coding-agent/CHANGELOG.md
7247cc755109ee5362ed176693980cdd5f38e4b7	fix(settings): complete the retirement recovery and publication-proof follow-ups		1	packages/coding-agent/CHANGELOG.md
290fe1c9f58c4da43da9a40941ff96278379c418	Merge pull request #4255 from snowykr/feat/abort-sdk-terminal	4255	0	
