hash	pr	type	cp_status	nc_conflict	files	ins	del	author	category	confidence	conflict_files	title
51215c4461d5	4242	merge	conflict	0	27	540	94	twoimo	C	high	packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,scripts/telegram-daemon-generation-manifest.json	Merge pull request #4242 from twoimo/fix/telegram-orchestration-topics
b9612612a12c	4252	merge	noop	0	4	284	13	Yeachan-Heo	E	high		Merge pull request #4252 from Yeachan-Heo/owner/issue-4247-empty-thinking-signature
56450d2a05c5	-	direct	conflict	9	33	85	67	(direct)	C	high	Cargo.lock,Cargo.toml,bun.lock,crates/pi-natives/src/lib.rs,package.json,packages/agent/package.json,packages/ai/package.json,packages/bridge-client/package.json,packages/coding-agent/package.json,packages/gajae-code/package.json,packages/natives-darwin-arm64/package.json,packages/natives-darwin-x64/package.json,packages/natives-linux-arm64/package.json,packages/natives-linux-x64/package.json,packages/natives-win32-x64/package.json,packages/natives/native/index.d.ts,packages/natives/native/index.js,packages/natives/package.json,packages/stats/package.json,packages/tui/package.json,packages/utils/package.json,plugins/.claude-plugin/marketplace.json,plugins/gajae-code/.claude-plugin/plugin.json,plugins/gajae-code/.codex-plugin/plugin.json	chore: merge main (v0.13.1 release) back into dev
9bd1b642bc99	4098	merge	conflict	0	228	18105	54385	Yeachan-Heo	C	high	bun.lock,docs/sdk.md,docs/telegram-onboarding.md,package.json,packages/bridge-client/package.json,packages/coding-agent/src/modes/controllers/selector-controller.ts,packages/coding-agent/src/sdk/bus/index.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/test/notification-settings-controller.test.ts,packages/coding-agent/test/notifications-config.test.ts,packages/coding-agent/test/notifications-live-stream.test.ts,packages/coding-agent/test/notifications-telegram-btw-e2e.test.ts,packages/coding-agent/test/notifications-telegram-daemon.test.ts,packages/coding-agent/test/notifications-tool-activity.test.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,scripts/telegram-daemon-generation-manifest.json	Merge pull request #4098 from Yeachan-Heo/refactor/sdk-owned-session-lifecycle
00ca7798bcc1	4080	squash	conflict	0	32	1563	120	grantjayy	B	medium	packages/coding-agent/src/coordinator-mcp/server.ts,packages/coding-agent/src/sdk/host/session-runtime.ts,packages/coding-agent/test/sdk-adapter-dispositions.test.ts	fix(sdk): make terminal receipts and steering durable (#4080)
67b65937617c	4246	squash	conflict	0	5	1339	1198	Yeachan-Heo	B	medium	bun.lock,package.json	fix(session): close retained-authority residuals (#4246)
099a37fb4120	4260	merge	clean	0	3	187	0	Yeachan-Heo	D	high		Merge pull request #4260 from Yeachan-Heo/fix/issue-4257-version-catalog-drift
75301116ec60	4249	squash	changelog-only	1	3	88	2	-	A	high		fix(telegram): accept archive fences that retained a stray grace deadline (#4249)
597e8e59530f	4267	squash	changelog-only	1	4	252	0	Yeachan-Heo	A	high		fix(ai): converge Anthropic thinking-replay rejections under managed fallback attempts (#4267)
db64d8d08422	4241	merge	conflict	0	5	232	50	Yeachan-Heo	C	high	packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/test/notifications-telegram-daemon.test.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,scripts/telegram-daemon-generation-manifest.json	Merge pull request #4241 from Yeachan-Heo/fix/issue-4200-runloop-heartbeat-containment
d50b4ff3ee7f	4243	squash	conflict	0	31	3464	426	-	B	medium	packages/coding-agent/src/sdk/bus/index.ts,packages/coding-agent/src/sdk/bus/kind-aware-reconciliation.ts,packages/coding-agent/src/sdk/bus/reconciliation-store.ts,packages/coding-agent/test/helpers/sdk-production-host.ts,packages/coding-agent/test/sdk-host-wiring.test.ts,packages/coding-agent/test/sdk-prompt-terminal-arbiter.test.ts	fix(acp): restore canonical skill lifecycle (#4243)
44f4e75b0e1a	4256	merge	conflict	1	9	102	32	probepark	B	medium	packages/coding-agent/test/tools/bash-resource-lifecycle.test.ts	Merge pull request #4256 from Yeachan-Heo/fix/4228-close-native-shell-sessions
678e26c4cece	4264	merge	changelog-only	1	3	352	15	itecob	A	high		Merge pull request #4264 from itecob/agent/fix-bonsai-responses-tool-arguments
36876355417b	4253	squash	conflict	1	3	155	15	probepark	B	medium	packages/coding-agent/src/sdk/client/client.ts,packages/coding-agent/test/sdk-client.test.ts	fix(sdk): attribute reconnect-cycle termination (#4253)
4396d52200b1	4245	merge	clean	0	51	10590	689	snowykr	B	medium		Merge pull request #4245 from snowykr/feat/settings-unify
948bcc5d8d84	4276	squash	conflict	0	12	484	26	Yeachan-Heo	B	medium	packages/ai/src/providers/openai-responses-shared.ts,packages/ai/test/openai-responses-multi-toolcall-stream.test.ts	fix(ai,agent): close fail-open Responses tool-call identity/lifecycle edge cases (#4274) (#4276)
259885288d0e	4275	squash	changelog-only	1	15	318	63	-	A	medium		fix(macos): stabilize TCC permissions for GJC binaries (#4275)
debe93696040	4265	merge	conflict	1	4	1628	1134	Yeachan-Heo	D	high	artifacts/session-gib-stress-source-bound-2026-08-10.json,packages/coding-agent/src/session/session-manager.ts	Merge pull request #4265 from Yeachan-Heo/research/stress-test
ace25b5bd84a	4278	squash	conflict	1	4	95	19	Yeachan-Heo	B	medium	packages/coding-agent/src/session/session-storage.ts	fix(sdk): terminalize scrubbed transcript deletion and update retired CLI ingress (#4278)
f44f6fbe179d	4277	squash	conflict	1	5	472	93	snowykr	B	medium	packages/coding-agent/src/config/atomic-yaml-patch.ts,packages/coding-agent/src/config/settings.ts,packages/coding-agent/test/config/settings-workflow-migration.test.ts,packages/coding-agent/test/fixtures/project-workflow-migration-probe.ts	fix(settings): follow-up to #4245 review threads — retirement ordering, marker fail-closed, probe ro
7247cc755109	-	direct	conflict	1	3	274	47	(direct)	B	low	packages/coding-agent/src/config/settings.ts,packages/coding-agent/test/config/settings-workflow-migration.test.ts	fix(settings): complete the retirement recovery and publication-proof follow-ups
